depth index,current depth,current Joint positions,current joint effort,zero effort
0,0.0965646606,0.0006718778,-0.0669039189,-0.1
0,0.0965606421,0.0031558948,-0.005069328,-0.1
0,0.0965567532,0.0062144831,-0.0024024163,-0.1
0,0.0965530588,0.009119003,0.0155343353,-0.1
0,0.0965541607,0.0122752839,0.0093508762,-0.1
0,0.0965515681,0.0152844468,0.0173280104,-0.1
0,0.0965541607,0.0182797087,0.0272168248,-0.1
0,0.0965528644,0.0213688019,0.0265087951,-0.1
0,0.0965541607,0.0244011329,0.0317482146,-0.1
0,0.0965557162,0.0275921661,0.0226618339,-0.1
0,0.0965567532,0.0306152299,0.0284676772,-0.1
0,0.0965593458,0.0336402244,0.0334002838,-0.1
0,0.0965619384,0.0366435952,0.041471822,-0.1
0,0.0965658273,0.0395241746,0.0643411803,-0.1
0,0.0965710124,0.0426885644,0.0554200065,-0.1
0,0.0965774939,0.0452513533,0.1082626206,-0.1
0,0.096582679,0.047872835,0.1545677608,-0.1
0,0.0965878642,0.0503105156,0.2215001653,-0.1
0,0.0965898734,0.0527775426,0.2808802534,-0.1
0,0.096596679,0.0552932228,0.3383486613,-0.1
0,0.0966023826,0.0577251114,0.4033221837,-0.1
0,0.0966080863,0.06014001,0.4694521546,-0.1
0,0.09661204,0.0625359879,0.5372105937,-0.1
0,0.0966169011,0.0651149945,0.5874334981,-0.1
0,0.0966211788,0.0674530519,0.6612101893,-0.1
0,0.096625327,0.0701150779,0.7018038902,-0.1
0,0.0966311603,0.0726666688,0.7531596421,-0.1
0,0.0966364103,0.0751236563,0.8164810953,-0.1
0,0.0966437991,0.0775200203,0.882776273,-0.1
0,0.0966509935,0.0800858983,0.9327631675,-0.1
0,0.096657799,0.0824996385,0.9989639414,-0.1
0,0.0966651231,0.0850203385,1.052915802,-0.1
0,0.0966730304,0.0873448811,1.1275421288,-0.1
0,0.0966830767,0.0898381654,1.1833348666,-0.1
0,0.0966957803,0.0922854994,1.2458302852,-0.1
0,0.0967045303,0.0947996351,1.2988853082,-0.1
0,0.0967134747,0.0970017724,1.3846277008,-0.1
0,0.0967197617,0.0995232447,1.4387919703,-0.1
0,0.0967265024,0.1019157473,1.5036946898,-0.1
1,0.1064383719,0.0012561025,-0.1249387506,-0.1
1,0.1064383719,0.0034443389,-0.0686267911,-0.1
1,0.1064396682,0.0060793353,-0.0571803115,-0.1
1,0.1064409645,0.0086181838,-0.0356090077,-0.1
1,0.1064422608,0.0113528035,-0.0352077909,-0.1
1,0.1064448534,0.013993592,-0.0244929419,-0.1
1,0.1064500385,0.0166069648,-0.0100255357,-0.1
1,0.1064513348,0.0193473765,-0.0091286981,-0.1
1,0.1064578163,0.0219850759,0.0018929637,-0.1
1,0.1064617051,0.0246822404,0.0077932109,-0.1
1,0.106465594,0.0275346318,-0.0028744361,-0.1
1,0.1064720754,0.0301873905,0.0062827476,-0.1
1,0.1064845846,0.0327428428,0.026603199,-0.1
1,0.1064948253,0.0353249386,0.0416842309,-0.1
1,0.1065018901,0.0378116586,0.069155782,-0.1
1,0.1065096679,0.0400659243,0.1190246715,-0.1
1,0.1065149826,0.0423445166,0.1661794473,-0.1
1,0.1065186771,0.0445207827,0.2235770523,-0.1
1,0.1065200382,0.0467121082,0.27745811,-0.1
1,0.1065252233,0.0489764135,0.3268785807,-0.1
1,0.1065318344,0.0510437891,0.3935277733,-0.1
1,0.1065368251,0.0531053726,0.4612626115,-0.1
1,0.1065390936,0.05520055,0.5263305378,-0.1
1,0.1065420751,0.0573297075,0.5878347149,-0.1
1,0.1065466121,0.0594387858,0.6504245374,-0.1
1,0.106548751,0.0615478642,0.7137695916,-0.1
1,0.1065527047,0.0639044561,0.7523336074,-0.1
1,0.1065572417,0.0660536927,0.8111236708,-0.1
1,0.106562038,0.0681546622,0.8735718874,-0.1
1,0.1065676768,0.070383829,0.9249040382,-0.1
1,0.1065720194,0.0725631842,0.9817116185,-0.1
1,0.1065774638,0.0747008367,1.0404072779,-0.1
1,0.1065827786,0.076694074,1.1139007573,-0.1
1,0.1065874453,0.0788483304,1.1719827909,-0.1
1,0.1065928249,0.0809859828,1.2315044849,-0.1
1,0.1066002137,0.0830796157,1.2945427262,-0.1
1,0.1066057878,0.0852516343,1.3499106462,-0.1
1,0.1066119451,0.0871873373,1.4277467075,-0.1
1,0.1066184266,0.0893269205,1.4860883521,-0.1
1,0.1066241303,0.0913869595,1.5513214854,-0.1
2,0.1164236938,0.0012850628,-0.1276292634,-0.1
2,0.1164249901,0.0031558948,-0.0686503921,-0.1
2,0.1164262864,0.0055178926,-0.056212671,-0.1
2,0.1164275826,0.0078239007,-0.0386063333,-0.1
2,0.1164288789,0.0101689085,-0.0249177597,-0.1
2,0.1164314715,0.0126594899,-0.0261922131,-0.1
2,0.1164366567,0.015028052,-0.0156661721,-0.1
2,0.116437953,0.017330971,0.0013265399,-0.1
2,0.116441777,0.0198837203,-0.0049749241,-0.1
2,0.1164444344,0.0222210054,0.0077224079,-0.1
2,0.1164496196,0.0246822404,0.0094924821,-0.1
2,0.1164568788,0.0272477323,0.0019873676,-0.1
2,0.1164654343,0.0293112465,0.0425102656,-0.1
2,0.1164742491,0.0317581944,0.0447051575,-0.1
2,0.1164820268,0.0338564609,0.0841896119,-0.1
2,0.1164885083,0.0357759462,0.1390383101,-0.1
2,0.116487212,0.0376197487,0.2032802019,-0.1
