depth index,current depth,current Joint positions,current joint effort,zero effort
0,0.096565568,0.0014518738,-0.1441971576,-0.1
0,0.0965555866,-0.0013043696,-0.1783477885,-0.1
0,0.0965502718,-0.0041942162,-0.1979602103,-0.1
0,0.0965476792,-0.0073574476,-0.1902190859,-0.1
0,0.0965437903,-0.0103326304,-0.2025152011,-0.1
0,0.0965437903,-0.0134271295,-0.202751211,-0.1
0,0.0965463829,-0.0165335988,-0.2000134963,-0.1
0,0.0965450866,-0.0195427617,-0.2088166651,-0.1
0,0.0965463829,-0.0226654487,-0.2044504822,-0.1
0,0.0965489755,-0.0257105223,-0.2092886849,-0.1
0,0.0965489755,-0.0287969125,-0.2097135027,-0.1
0,0.0965528644,-0.0319141936,-0.2059609455,-0.1
0,0.0965528644,-0.0349368712,-0.2128288333,-0.1
0,0.0965571421,-0.0381085976,-0.2050169059,-0.1
0,0.096564531,-0.040828158,-0.2405363942,-0.1
0,0.0965697161,-0.0431770272,-0.3155403369,-0.1
0,0.0965774939,-0.0455490646,-0.3863433036,-0.1
0,0.0965839753,-0.0480238144,-0.447021446,-0.1
0,0.0965878642,-0.0504653564,-0.5120421704,-0.1
0,0.0965956419,-0.0529852841,-0.5693217705,-0.1
0,0.0966021234,-0.0554403409,-0.6308023465,-0.1
0,0.0966073085,-0.0579517736,-0.6885775673,-0.1
0,0.0966152159,-0.0603566326,-0.7552739619,-0.1
0,0.096622864,-0.0627904519,-0.821026317,-0.1
0,0.0966306418,-0.0652617264,-0.8808076218,-0.1
0,0.0966397158,-0.0677368623,-0.9403765178,-0.1
0,0.0966529379,-0.0700262665,-1.0156636724,-0.1
0,0.0966617527,-0.0726357779,-1.0638568917,-0.1
0,0.0966682342,-0.0749653403,-1.1378931938,-0.1
0,0.0966784749,-0.0774072684,-1.2020170806,-0.1
0,0.0966876785,-0.0797206131,-1.2772806342,-0.1
0,0.0966954563,-0.0821849371,-1.3374395549,-0.1
0,0.0967071229,-0.0845380538,-1.4086201374,-0.1
0,0.0967149006,-0.0869877047,-1.468873462,-0.1
0,0.0967265672,-0.0893242175,-1.541116089,-0.1
1,0.1064383719,0.0005691654,-0.0556934492,-0.1
1,0.1064399923,-0.0015314179,-0.1197229321,-0.1
1,0.1064409645,-0.0040694941,-0.1420730686,-0.1
1,0.1064396682,-0.0067851931,-0.1459908327,-0.1
1,0.1064409645,-0.0094510805,-0.1541567749,-0.1
1,0.1064422608,-0.012094572,-0.164494008,-0.1
1,0.1064435571,-0.014869736,-0.162275515,-0.1
1,0.1064487422,-0.0175082077,-0.1738636006,-0.1
1,0.1064513348,-0.0202007385,-0.179268227,-0.1
1,0.1064552237,-0.0229369028,-0.1804954785,-0.1
1,0.1064578163,-0.0256101268,-0.1886142186,-0.1
1,0.1064654644,-0.0283582613,-0.1884018097,-0.1
1,0.1064709736,-0.0311063957,-0.1889210315,-0.1
1,0.1064798532,-0.0338120552,-0.1922487709,-0.1
1,0.1064863346,-0.0365381799,-0.1957889193,-0.1
1,0.1064954087,-0.0393164331,-0.1909979185,-0.1
1,0.106505779,-0.0419502711,-0.2030816248,-0.1
1,0.1065213345,-0.0439747855,-0.2761974884,-0.1
