depth index,current depth,current Joint positions,current joint effort
0,0.096534716300000045,-0.0012576470485674614,0.1252955759746
0,0.096537308879999964,-0.0038594357538936997,0.10823206100636266
0,0.096536012590000053,-0.0065376795146747588,0.098296044683225905
0,0.096537308879999964,-0.0092607151261263204,0.092962221193846034
0,0.096536077404500056,-0.011967532998542007,0.086825964082170207
0,0.096538605170000055,-0.014690954746637286,0.080524500048256689
0,0.096537762581499972,-0.017412831948157716,0.074954666669966488
0,0.096539901459999966,-0.02015864962158824,0.07360941030317622
0,0.096538605170000055,-0.022905239568306184,0.069620843180586534
0,0.096540614419499973,-0.025669591800634849,0.068983616480527699
0,0.096543790329999976,-0.028415795610709088,0.064641034524572677
0,0.096544762547499982,-0.031250810848836894,0.071272912402960881
0,0.096548132901499981,-0.033873064796279842,0.057655141812818597
0,0.09655383657750001,-0.03636017091842382,0.027516678998933432
0,0.096554938424000009,-0.038843801810774431,-0.00066290173699333564
0,0.096556753230000014,-0.041316234740457418,-0.031344187295372916
0,0.096560642100000024,-0.043767816291379991,-0.063819148009472873
0,0.09656323468000004,-0.046220556252233688,-0.09516126125680209
0,0.09656323468000004,-0.048670593256581421,-0.12768342394868443
0,0.096565827260000042,-0.051139937093114693,-0.1578690887403516
0,0.096569651315500035,-0.053596538420405515,-0.18944721187659122
0,0.096573151298500054,-0.056009506306956967,-0.22451828136870819
0,0.096574901289999973,-0.058519008354436221,-0.2513526057378449
0,0.096577493869999975,-0.060962481035840857,-0.28304873381854007
0,0.096581382739999985,-0.063408656673751479,-0.3147448618992349
0,0.096581382739999985,-0.065875297553778772,-0.34275923571292466
0,0.096583975319999987,-0.068377849141671221,-0.37039599370435694
0,0.096587864189999997,-0.070791975438153826,-0.4048062355075242
0,0.096590456770000013,-0.073247418355513502,-0.43510990524364673
0,0.096594345640000009,-0.075760009496142436,-0.45918291391252886
0,0.096598234510000033,-0.078244026525136762,-0.48854254409300885
0,0.096603419670000037,-0.080644251902445729,-0.52370801754069018
0,0.09660601225000004,-0.083142555987257366,-0.54789903115402805
0,0.096609901119999966,-0.085643949165218669,-0.57461535057870916
0,0.096613789989999976,-0.088117540504832767,-0.60293653724798235
0,0.096620012181999976,-0.09052548861501597,-0.63833802058457434
0,0.096623123277999989,-0.092928803085474659,-0.67345629205447299
0,0.096626752890000014,-0.095414364661043832,-0.69844973929010679
0,0.096633104711000034,-0.097871352124978342,-0.72851739913731839
0,0.096635826920000042,-0.10029127047111661,-0.76004832029577629
0,0.096642243555500038,-0.10271389177376081,-0.79148483749866982
0,0.096647428715499958,-0.1052345917839077,-0.81723351637881747
0,0.09665261387549999,-0.10762323306190535,-0.84756078710383098
0,0.096657799035499981,-0.11004855732105556,-0.87890290035116048
0,0.09666434530000001,-0.11250863387813977,-0.90892335822059034
0,0.096670113790500029,-0.11495982929241863,-0.93651291423424055
0,0.096674715620000032,-0.11732453009850619,-0.97321245195984019
0,0.096682493359999969,-0.11980005212133885,-0.99988156940673956
0,0.096688974809999981,-0.12226669300136614,-1.0245682037867896
0,0.096694678485999982,-0.12470669045297737,-1.0531490013338649
0,0.096701937710000019,-0.12707370807892721,-1.089234913348297
0,0.096708548789000037,-0.12951254712060728,-1.1176741049620253
0,0.096716196900000051,-0.13201780166500571,-1.1389149949639805
0,0.096724104268999994,-0.1344342447813506,-1.1699502953557264
0,0.096733567186,-0.13682597515249792,-1.2015756204697483
0,0.096743418990000038,-0.13927099238047738,-1.2282919398944294
0,0.096752233762000053,-0.14167739594408574,-1.2580763878749479
0,0.096761178162999978,-0.14407877973132582,-1.2902917377112471
0,0.096772196628000004,-0.14646471805281752,-1.3228139004031287
0,0.096783215093000044,-0.14893599257256934,-1.345234839849637
0,0.096795270589999982,-0.15132965362693523,-1.3762701402413828
0,0.096807520530500013,-0.15370091875596587,-1.410208362266729
0,0.096822687123500034,-0.15611736187231076,-1.437467504435904
0,0.096836557426499978,-0.15854229999481725,-1.4633341882605073
0,0.096851918463000036,-0.16098152517314102,-1.4893896799962385
0,0.096868186902499986,-0.16335896848847103,-1.5202833744546373
1,0.10644070522199997,-0.0013978146502346366,0.14016419897596819
1,0.10644057559299999,-0.0035798728238467725,0.11052135692879558
1,0.10643966819000002,-0.0059928407103982196,0.099688503027798303
1,0.10644193669749999,-0.0084150758763987359,0.092631807349371278
1,0.10644128855249997,-0.010882102893069756,0.089422072860186566
1,0.10644336261649998,-0.013343337860085108,0.086613555182150456
1,0.106444464463,-0.015813840106549529,0.08397024442635162
1,0.10644485335000001,-0.018235689135906334,0.076252721058974487
1,0.10644977925200001,-0.020768359382008265,0.078683622914754031
1,0.10645191813050001,-0.023238475491828975,0.076512331936776173
1,0.10645723291950002,-0.02570164114206288,0.073231794480918946
1,0.10646267733750003,-0.028174846345033276,0.069597242191695413
1,0.10646786249749995,-0.030719486827090255,0.075780701281153592
1,0.10647596430999998,-0.033111989471525008,0.065372665180195619
1,0.10648432538050001,-0.035348879048544134,0.0371694834553776
1,0.10649197349150001,-0.037533640178662252,0.0072670305304027589
1,0.10649540866000004,-0.03971338153241212,-0.02527873315037038
1,0.10649800124000001,-0.041934439507039088,-0.051924249608378235
1,0.10649800124000001,-0.044089468115591432,-0.08673570822269365
1,0.10650189011000007,-0.046257625370029962,-0.11876225014786353
1,0.10650253825500004,-0.048425010351181068,-0.15097759998416177
1,0.10650318639999996,-0.050604751704930936,-0.18338175773158899
1,0.10650448269000005,-0.052794146474773596,-0.21403944230107719
1,0.10650837155999997,-0.054926393021346977,-0.2486856939931546
